Endpoint,HTTP Method,Previous Documentation Status,Previous Severity,Resource Criticality,Public Exposure,Review Date,Documentation Status,Root Cause Category,Root Cause Summary,Priority,Recommended Fix,Reviewer Status,Jira Ticket ID,Last Updated Timestamp
/api/v1/payments/{paymentId}/capture,POST,Partial,Critical,Critical,Internal,2025-11-19,Partial,Authentication Mismatch,Route incorrectly marked public in OpenAPI,High,Require bearer manager/admin and payments:capture,Changes Requested,API-145,2025-11-19T09:25:58Z
/api/v1/payments/{paymentId}/refunds,POST,Undocumented,Critical,Critical,Internal,2025-11-19,Undocumented,Documentation Gap,High-risk admin refund operation absent,High,Document refund schema permission and conflict responses,Open,,2025-11-19T09:41:20Z
/api/v1/inventory,GET,Partial,Low,Medium,Internal,2026-03-02,Partial,Missing Filtering,lowStockOnly and warehouseId filters absent,Low,Add filter and pagination query parameters,Open,,2026-03-02T06:55:08Z
/api/v1/inventory/{productId},GET,Full,Low,Medium,Internal,2026-03-02,Full,None,Inventory read aligned,Approved,,2026-03-02T07:05:15Z
/api/v1/inventory/{productId}/adjustments,POST,Partial,Medium,High,Internal,2026-03-02,Partial,Missing Validation Documentation,delta range and reasonDetail maximum absent,Medium,Publish -10000..10000 and 250-character rule,In Progress,API-221,2026-03-02T07:16:43Z
/api/v1/products/{productId}/reviews,GET,Partial,Low,Medium,Public,2026-02-27,Partial,Missing Pagination,rating filter and pagination absent,Low,Add page limit and rating filters,Open,,2026-02-27T14:11:09Z
/api/v1/products/{productId}/reviews,POST,Partial,Low,Medium,Internal,2026-02-27,Partial,Authentication Mismatch,Authentication not stated explicitly,Low,Add bearer security and moderation state,Open,,2026-02-27T14:21:36Z
/api/v1/reviews/{reviewId},DELETE,Undocumented,Medium,Medium,Internal,2026-02-27,Undocumented,Documentation Gap,Admin moderation delete route absent,Medium,Document admin role and removal representation,Open,,2026-02-27T14:33:48Z
/api/v1/product/{id},GET,Deprecated,High,High,Public,2025-04-16,Deprecated,Deprecated Endpoint,Legacy singular route still callable,High,Return 410 after sunset and point to v2 route,Needs Re-review,API-102,2025-04-16T16:04:53Z
/api/v1/products/search,GET,Deprecated,Low,Low,Public,2024-09-07,Deprecated,Deprecated Documentation,No matching route remains in source,Low,Remove the obsolete collection request and tracker row,Resolved,API-221,2025-03-28T05:52:19Z
/api/v1/admin/catalog/import,POST,Deprecated,Medium,High,Internal,2024-11-18,Deprecated,Deprecated Documentation,Old bulk import endpoint removed from source,Medium,Archive documentation and confirm ticket resolution,Resolved,API-317,2025-05-02T11:43:17Z
/api/v1/payments/authorize,POST,Deprecated,Medium,Critical,Internal,2024-06-30,Deprecated,Deprecated Documentation,Collection-only endpoint replaced by cart checkout,Medium,Remove obsolete Postman request,Resolved,,2025-02-12T08:23:59Z
